Vgs,Vds,Id
3.5,0.001092,3.083
3.5,0.074822,242.61
3.5,0.152074,447.4
3.5,0.23308,612.03
3.5,0.31873,733.31
3.5,0.41783,816.43
3.5,0.60697,880.8
3.5,0.90584,918.73
3.5,1.20644,942.2
3.5,1.49751,960.2
3.5,1.79887,976.29
3.5,2.0993,990.92
3.5,2.3919,1003.78
3.5,2.8976,1024.35
3.5,3.394,1042.74
3.5,3.8906,1059.93
3.5,5.8871,1120.97
3.5,7.8836,1179.78
3.5,9.8573,1259.03
,,
5,0.000871,3.862
5,0.124136,726.12
5,0.25386,1381.61
5,0.39894,1982.67
5,0.54582,2446.4
5,0.71454,2806.2
5,1.08188,3136.1
5,1.6181,3294.6
5,2.2575,3389
5,2.8464,3461.6
5,3.4455,3525.4
5,4.0357,3581.2
5,4.6264,3632.8
5,5.6245,3712.3
5,6.6136,3784.8
5,7.6121,3858
5,8.6007,3937.4
5,9.587,4036.6
